departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
6648,Presidente Perón,6,Buenos Aires,2021,12,Dengue,7,De 15 a 19 anos,1
6760,San Miguel,6,Buenos Aires,2021,17,Dengue,4,De 2 a 4 anos,1
6371,General San Martín,6,Buenos Aires,2021,12,Dengue,9,De 25 a 34 anos,1
6490,Lomas de Zamora,6,Buenos Aires,2021,15,Dengue,9,De 25 a 34 anos,1
6539,Merlo,6,Buenos Aires,2021,13,Dengue,9,De 25 a 34 anos,1
6028,Almirante Brown,6,Buenos Aires,2021,14,Dengue,9,De 35 a 44 anos,1
6441,La Plata,6,Buenos Aires,2021,10,Dengue,9,De 35 a 44 anos,1
6091,Berazategui,6,Buenos Aires,2021,10,Dengue,10,De 45 a 65 anos,1
6091,Berazategui,6,Buenos Aires,2021,15,Dengue,10,De 45 a 65 anos,1
6756,San Isidro,6,Buenos Aires,2021,14,Dengue,10,De 45 a 65 anos,1
6539,Merlo,6,Buenos Aires,2021,13,Dengue,5,De 5 a 9 anos,1
2006,COMUNA 6,2,CABA,2021,10,Dengue,7,De 15 a 19 anos,1
2003,COMUNA 3,2,CABA,2021,15,Dengue,9,De 25 a 34 anos,1
2015,COMUNA 15,2,CABA,2021,11,Dengue,9,De 25 a 34 anos,1
10049,Capital,10,Catamarca,2021,18,Dengue,7,De 15 a 19 anos,1
10084,Pomán,10,Catamarca,2021,19,Dengue,9,De 25 a 34 anos,1
10070,La Paz,10,Catamarca,2021,17,Dengue,10,De 45 a 65 anos,1
22140,San Fernando,22,Chaco,2021,14,Dengue,9,De 25 a 34 anos,1
22140,San Fernando,22,Chaco,2021,18,Dengue,1,Neonato (hasta 28 dias),1
14014,Capital,14,Córdoba,2021,18,Dengue,7,De 15 a 19 anos,1
14007,Calamuchita,14,Córdoba,2021,18,Dengue,9,De 25 a 34 anos,1
14014,Capital,14,Córdoba,2021,11,Dengue,9,De 25 a 34 anos,1
14028,Cruz del Eje,14,Córdoba,2021,18,Dengue,9,De 25 a 34 anos,1
14014,Capital,14,Córdoba,2021,17,Dengue,9,De 35 a 44 anos,1
14014,Capital,14,Córdoba,2021,18,Dengue,9,De 35 a 44 anos,1
14007,Calamuchita,14,Córdoba,2021,15,Dengue,10,De 45 a 65 anos,1
14014,Capital,14,Córdoba,2021,11,Dengue,10,De 45 a 65 anos,1
14014,Capital,14,Córdoba,2021,16,Dengue,11,Mayores de 65 anos,1
18021,Capital,18,Corrientes,2021,14,Dengue,6,De 10 a 14 anos,1
18021,Capital,18,Corrientes,2021,11,Dengue,7,De 15 a 19 anos,1
18084,Ituzaingó,18,Corrientes,2021,15,Dengue,8,De 20 a 24 anos,1
18021,Capital,18,Corrientes,2021,15,Dengue,9,De 25 a 34 anos,3
18021,Capital,18,Corrientes,2021,16,Dengue,9,De 25 a 34 anos,1
18168,Santo Tomé,18,Corrientes,2021,7,Dengue,9,De 25 a 34 anos,1
18168,Santo Tomé,18,Corrientes,2021,18,Dengue,9,De 35 a 44 anos,1
18021,Capital,18,Corrientes,2021,14,Dengue,10,De 45 a 65 anos,1
18021,Capital,18,Corrientes,2021,16,Dengue,10,De 45 a 65 anos,1
18119,Paso de los Libres,18,Corrientes,2021,18,Dengue,10,De 45 a 65 anos,1
18168,Santo Tomé,18,Corrientes,2021,15,Dengue,10,De 45 a 65 anos,1
18168,Santo Tomé,18,Corrientes,2021,15,Dengue,11,Mayores de 65 anos,1
30028,Federación,30,Entre Ríos,2021,17,Dengue,6,De 10 a 14 anos,1
30028,Federación,30,Entre Ríos,2021,13,Dengue,7,De 15 a 19 anos,1
30028,Federación,30,Entre Ríos,2021,16,Dengue,4,De 2 a 4 anos,1
30028,Federación,30,Entre Ríos,2021,14,Dengue,9,De 25 a 34 anos,1
30028,Federación,30,Entre Ríos,2021,15,Dengue,9,De 25 a 34 anos,1
30028,Federación,30,Entre Ríos,2021,16,Dengue,9,De 25 a 34 anos,1
30028,Federación,30,Entre Ríos,2021,13,Dengue,9,De 35 a 44 anos,1
30028,Federación,30,Entre Ríos,2021,15,Dengue,9,De 35 a 44 anos,2
30028,Federación,30,Entre Ríos,2021,16,Dengue,9,De 35 a 44 anos,1
30028,Federación,30,Entre Ríos,2021,17,Dengue,9,De 35 a 44 anos,1
30028,Federación,30,Entre Ríos,2021,13,Dengue,10,De 45 a 65 anos,2
30028,Federación,30,Entre Ríos,2021,16,Dengue,10,De 45 a 65 anos,2
30028,Federación,30,Entre Ríos,2021,17,Dengue,10,De 45 a 65 anos,1
30028,Federación,30,Entre Ríos,2021,17,Dengue,5,De 5 a 9 anos,1
34014,Formosa,34,Formosa,2021,1,Dengue,6,De 10 a 14 anos,1
34014,Formosa,34,Formosa,2021,6,Dengue,6,De 10 a 14 anos,1
34014,Formosa,34,Formosa,2021,7,Dengue,6,De 10 a 14 anos,1
34014,Formosa,34,Formosa,2021,11,Dengue,6,De 10 a 14 anos,1
34035,Patiño,34,Formosa,2021,2,Dengue,6,De 10 a 14 anos,1
34035,Patiño,34,Formosa,2021,4,Dengue,6,De 10 a 14 anos,2
34035,Patiño,34,Formosa,2021,5,Dengue,6,De 10 a 14 anos,2
34035,Patiño,34,Formosa,2021,6,Dengue,6,De 10 a 14 anos,2
34035,Patiño,34,Formosa,2021,7,Dengue,6,De 10 a 14 anos,2
34035,Patiño,34,Formosa,2021,8,Dengue,6,De 10 a 14 anos,3
34035,Patiño,34,Formosa,2021,10,Dengue,6,De 10 a 14 anos,3
34035,Patiño,34,Formosa,2021,11,Dengue,6,De 10 a 14 anos,2
34035,Patiño,34,Formosa,2021,15,Dengue,6,De 10 a 14 anos,1
34014,Formosa,34,Formosa,2021,1,Dengue,3,De 13 a 24 meses,1
34014,Formosa,34,Formosa,2021,11,Dengue,3,De 13 a 24 meses,1
34035,Patiño,34,Formosa,2021,10,Dengue,3,De 13 a 24 meses,1
34014,Formosa,34,Formosa,2021,2,Dengue,7,De 15 a 19 anos,2
34014,Formosa,34,Formosa,2021,13,Dengue,7,De 15 a 19 anos,1
34014,Formosa,34,Formosa,2021,16,Dengue,7,De 15 a 19 anos,2
34035,Patiño,34,Formosa,2021,1,Dengue,7,De 15 a 19 anos,1
34035,Patiño,34,Formosa,2021,2,Dengue,7,De 15 a 19 anos,2
34035,Patiño,34,Formosa,2021,3,Dengue,7,De 15 a 19 anos,2
34035,Patiño,34,Formosa,2021,4,Dengue,7,De 15 a 19 anos,4
34035,Patiño,34,Formosa,2021,5,Dengue,7,De 15 a 19 anos,3
34035,Patiño,34,Formosa,2021,6,Dengue,7,De 15 a 19 anos,2
34035,Patiño,34,Formosa,2021,8,Dengue,7,De 15 a 19 anos,6
34035,Patiño,34,Formosa,2021,10,Dengue,7,De 15 a 19 anos,2
34035,Patiño,34,Formosa,2021,15,Dengue,7,De 15 a 19 anos,1
34063,Ramón Lista,34,Formosa,2021,13,Dengue,7,De 15 a 19 anos,1
34035,Patiño,34,Formosa,2021,6,Dengue,4,De 2 a 4 anos,1
34035,Patiño,34,Formosa,2021,8,Dengue,4,De 2 a 4 anos,1
34035,Patiño,34,Formosa,2021,10,Dengue,4,De 2 a 4 anos,1
34035,Patiño,34,Formosa,2021,15,Dengue,4,De 2 a 4 anos,1
34007,Bermejo,34,Formosa,2021,6,Dengue,8,De 20 a 24 anos,1
34014,Formosa,34,Formosa,2021,1,Dengue,8,De 20 a 24 anos,2
34014,Formosa,34,Formosa,2021,8,Dengue,8,De 20 a 24 anos,1
34028,Matacos,34,Formosa,2021,2,Dengue,8,De 20 a 24 anos,1
34028,Matacos,34,Formosa,2021,9,Dengue,8,De 20 a 24 anos,1
34035,Patiño,34,Formosa,2021,3,Dengue,8,De 20 a 24 anos,1
34035,Patiño,34,Formosa,2021,4,Dengue,8,De 20 a 24 anos,5
34035,Patiño,34,Formosa,2021,5,Dengue,8,De 20 a 24 anos,2
34035,Patiño,34,Formosa,2021,6,Dengue,8,De 20 a 24 anos,1
34035,Patiño,34,Formosa,2021,7,Dengue,8,De 20 a 24 anos,5
34035,Patiño,34,Formosa,2021,8,Dengue,8,De 20 a 24 anos,4
34035,Patiño,34,Formosa,2021,9,Dengue,8,De 20 a 24 anos,2
34035,Patiño,34,Formosa,2021,10,Dengue,8,De 20 a 24 anos,2
34014,Formosa,34,Formosa,2021,1,Dengue,9,De 25 a 34 anos,1
34014,Formosa,34,Formosa,2021,2,Dengue,9,De 25 a 34 anos,1
34014,Formosa,34,Formosa,2021,5,Dengue,9,De 25 a 34 anos,1
34014,Formosa,34,Formosa,2021,6,Dengue,9,De 25 a 34 anos,2
34014,Formosa,34,Formosa,2021,7,Dengue,9,De 25 a 34 anos,1
34014,Formosa,34,Formosa,2021,8,Dengue,9,De 25 a 34 anos,2
34014,Formosa,34,Formosa,2021,9,Dengue,9,De 25 a 34 anos,2
34014,Formosa,34,Formosa,2021,11,Dengue,9,De 25 a 34 anos,3
34014,Formosa,34,Formosa,2021,16,Dengue,9,De 25 a 34 anos,2
34028,Matacos,34,Formosa,2021,6,Dengue,9,De 25 a 34 anos,1
34028,Matacos,34,Formosa,2021,8,Dengue,9,De 25 a 34 anos,2
34035,Patiño,34,Formosa,2021,2,Dengue,9,De 25 a 34 anos,1
34035,Patiño,34,Formosa,2021,3,Dengue,9,De 25 a 34 anos,3
34035,Patiño,34,Formosa,2021,4,Dengue,9,De 25 a 34 anos,2
34035,Patiño,34,Formosa,2021,5,Dengue,9,De 25 a 34 anos,11
34035,Patiño,34,Formosa,2021,6,Dengue,9,De 25 a 34 anos,9
34035,Patiño,34,Formosa,2021,7,Dengue,9,De 25 a 34 anos,7
34035,Patiño,34,Formosa,2021,8,Dengue,9,De 25 a 34 anos,5
34035,Patiño,34,Formosa,2021,9,Dengue,9,De 25 a 34 anos,1
34035,Patiño,34,Formosa,2021,10,Dengue,9,De 25 a 34 anos,7
34035,Patiño,34,Formosa,2021,11,Dengue,9,De 25 a 34 anos,3
34035,Patiño,34,Formosa,2021,16,Dengue,9,De 25 a 34 anos,1
34063,Ramón Lista,34,Formosa,2021,13,Dengue,9,De 25 a 34 anos,1
34007,Bermejo,34,Formosa,2021,7,Dengue,9,De 35 a 44 anos,1
34014,Formosa,34,Formosa,2021,1,Dengue,9,De 35 a 44 anos,1
34014,Formosa,34,Formosa,2021,2,Dengue,9,De 35 a 44 anos,1
34014,Formosa,34,Formosa,2021,6,Dengue,9,De 35 a 44 anos,3
34014,Formosa,34,Formosa,2021,7,Dengue,9,De 35 a 44 anos,2
34014,Formosa,34,Formosa,2021,10,Dengue,9,De 35 a 44 anos,1
34014,Formosa,34,Formosa,2021,13,Dengue,9,De 35 a 44 anos,1
34014,Formosa,34,Formosa,2021,16,Dengue,9,De 35 a 44 anos,1
34014,Formosa,34,Formosa,2021,17,Dengue,9,De 35 a 44 anos,1
34028,Matacos,34,Formosa,2021,8,Dengue,9,De 35 a 44 anos,1
34028,Matacos,34,Formosa,2021,9,Dengue,9,De 35 a 44 anos,1
34028,Matacos,34,Formosa,2021,11,Dengue,9,De 35 a 44 anos,2
34035,Patiño,34,Formosa,2021,3,Dengue,9,De 35 a 44 anos,3
34035,Patiño,34,Formosa,2021,4,Dengue,9,De 35 a 44 anos,2
34035,Patiño,34,Formosa,2021,5,Dengue,9,De 35 a 44 anos,9
34035,Patiño,34,Formosa,2021,6,Dengue,9,De 35 a 44 anos,10
34035,Patiño,34,Formosa,2021,7,Dengue,9,De 35 a 44 anos,5
34035,Patiño,34,Formosa,2021,8,Dengue,9,De 35 a 44 anos,10
34035,Patiño,34,Formosa,2021,10,Dengue,9,De 35 a 44 anos,3
34035,Patiño,34,Formosa,2021,11,Dengue,9,De 35 a 44 anos,2
34035,Patiño,34,Formosa,2021,14,Dengue,9,De 35 a 44 anos,2
34035,Patiño,34,Formosa,2021,16,Dengue,9,De 35 a 44 anos,1
34014,Formosa,34,Formosa,2021,2,Dengue,10,De 45 a 65 anos,2
34014,Formosa,34,Formosa,2021,5,Dengue,10,De 45 a 65 anos,1
34014,Formosa,34,Formosa,2021,8,Dengue,10,De 45 a 65 anos,3
34014,Formosa,34,Formosa,2021,10,Dengue,10,De 45 a 65 anos,1
34014,Formosa,34,Formosa,2021,11,Dengue,10,De 45 a 65 anos,3
34014,Formosa,34,Formosa,2021,12,Dengue,10,De 45 a 65 anos,1
34014,Formosa,34,Formosa,2021,13,Dengue,10,De 45 a 65 anos,1
34014,Formosa,34,Formosa,2021,16,Dengue,10,De 45 a 65 anos,7
34014,Formosa,34,Formosa,2021,17,Dengue,10,De 45 a 65 anos,1
34021,Laishi,34,Formosa,2021,5,Dengue,10,De 45 a 65 anos,1
34021,Laishi,34,Formosa,2021,11,Dengue,10,De 45 a 65 anos,1
34028,Matacos,34,Formosa,2021,7,Dengue,10,De 45 a 65 anos,1
34028,Matacos,34,Formosa,2021,9,Dengue,10,De 45 a 65 anos,1
34035,Patiño,34,Formosa,2021,1,Dengue,10,De 45 a 65 anos,1
34035,Patiño,34,Formosa,2021,2,Dengue,10,De 45 a 65 anos,1
34035,Patiño,34,Formosa,2021,3,Dengue,10,De 45 a 65 anos,5
34035,Patiño,34,Formosa,2021,4,Dengue,10,De 45 a 65 anos,2
34035,Patiño,34,Formosa,2021,5,Dengue,10,De 45 a 65 anos,5
34035,Patiño,34,Formosa,2021,6,Dengue,10,De 45 a 65 anos,26
34035,Patiño,34,Formosa,2021,7,Dengue,10,De 45 a 65 anos,9
34035,Patiño,34,Formosa,2021,8,Dengue,10,De 45 a 65 anos,7
34035,Patiño,34,Formosa,2021,9,Dengue,10,De 45 a 65 anos,1
34035,Patiño,34,Formosa,2021,10,Dengue,10,De 45 a 65 anos,9
34035,Patiño,34,Formosa,2021,11,Dengue,10,De 45 a 65 anos,3
34035,Patiño,34,Formosa,2021,12,Dengue,10,De 45 a 65 anos,1
34035,Patiño,34,Formosa,2021,16,Dengue,10,De 45 a 65 anos,1
34035,Patiño,34,Formosa,2021,17,Dengue,10,De 45 a 65 anos,1
34035,Patiño,34,Formosa,2021,18,Dengue,10,De 45 a 65 anos,1
34063,Ramón Lista,34,Formosa,2021,13,Dengue,10,De 45 a 65 anos,1
34014,Formosa,34,Formosa,2021,1,Dengue,5,De 5 a 9 anos,1
34014,Formosa,34,Formosa,2021,5,Dengue,5,De 5 a 9 anos,1
34014,Formosa,34,Formosa,2021,8,Dengue,5,De 5 a 9 anos,1
34014,Formosa,34,Formosa,2021,15,Dengue,5,De 5 a 9 anos,1
34035,Patiño,34,Formosa,2021,5,Dengue,5,De 5 a 9 anos,4
34035,Patiño,34,Formosa,2021,6,Dengue,5,De 5 a 9 anos,2
34035,Patiño,34,Formosa,2021,7,Dengue,5,De 5 a 9 anos,2
34035,Patiño,34,Formosa,2021,8,Dengue,5,De 5 a 9 anos,1
34035,Patiño,34,Formosa,2021,10,Dengue,5,De 5 a 9 anos,4
34035,Patiño,34,Formosa,2021,11,Dengue,5,De 5 a 9 anos,2
34035,Patiño,34,Formosa,2021,13,Dengue,5,De 5 a 9 anos,1
34007,Bermejo,34,Formosa,2021,9,Dengue,11,Mayores de 65 anos,1
34014,Formosa,34,Formosa,2021,1,Dengue,11,Mayores de 65 anos,1
34014,Formosa,34,Formosa,2021,16,Dengue,11,Mayores de 65 anos,1
34014,Formosa,34,Formosa,2021,17,Dengue,11,Mayores de 65 anos,2
34014,Formosa,34,Formosa,2021,18,Dengue,11,Mayores de 65 anos,1
34035,Patiño,34,Formosa,2021,1,Dengue,11,Mayores de 65 anos,3
34035,Patiño,34,Formosa,2021,3,Dengue,11,Mayores de 65 anos,2
34035,Patiño,34,Formosa,2021,4,Dengue,11,Mayores de 65 anos,3
34035,Patiño,34,Formosa,2021,5,Dengue,11,Mayores de 65 anos,11
34035,Patiño,34,Formosa,2021,6,Dengue,11,Mayores de 65 anos,11
34035,Patiño,34,Formosa,2021,7,Dengue,11,Mayores de 65 anos,6
34035,Patiño,34,Formosa,2021,8,Dengue,11,Mayores de 65 anos,5
34035,Patiño,34,Formosa,2021,9,Dengue,11,Mayores de 65 anos,3
34035,Patiño,34,Formosa,2021,10,Dengue,11,Mayores de 65 anos,8
34035,Patiño,34,Formosa,2021,11,Dengue,11,Mayores de 65 anos,1
34035,Patiño,34,Formosa,2021,13,Dengue,11,Mayores de 65 anos,2
34035,Patiño,34,Formosa,2021,18,Dengue,11,Mayores de 65 anos,1
34035,Patiño,34,Formosa,2021,6,Dengue,2,Posneonato (29 hasta 365 dias),1
34035,Patiño,34,Formosa,2021,8,Dengue,2,Posneonato (29 hasta 365 dias),1
34035,Patiño,34,Formosa,2021,10,Dengue,2,Posneonato (29 hasta 365 dias),1
38014,El Carmen,38,Jujuy,2021,13,Dengue,6,De 10 a 14 anos,2
38035,Ledesma,38,Jujuy,2021,11,Dengue,6,De 10 a 14 anos,1
38035,Ledesma,38,Jujuy,2021,14,Dengue,6,De 10 a 14 anos,1
38035,Ledesma,38,Jujuy,2021,16,Dengue,6,De 10 a 14 anos,4
38035,Ledesma,38,Jujuy,2021,17,Dengue,6,De 10 a 14 anos,5
38035,Ledesma,38,Jujuy,2021,21,Dengue,6,De 10 a 14 anos,1
38035,Ledesma,38,Jujuy,2021,24,Dengue,6,De 10 a 14 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,16,Dengue,6,De 10 a 14 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,21,Dengue,6,De 10 a 14 anos,1
38014,El Carmen,38,Jujuy,2021,14,Dengue,7,De 15 a 19 anos,2
38014,El Carmen,38,Jujuy,2021,16,Dengue,7,De 15 a 19 anos,1
38035,Ledesma,38,Jujuy,2021,12,Dengue,7,De 15 a 19 anos,2
38035,Ledesma,38,Jujuy,2021,13,Dengue,7,De 15 a 19 anos,1
38035,Ledesma,38,Jujuy,2021,14,Dengue,7,De 15 a 19 anos,1
38035,Ledesma,38,Jujuy,2021,15,Dengue,7,De 15 a 19 anos,1
38035,Ledesma,38,Jujuy,2021,16,Dengue,7,De 15 a 19 anos,1
38035,Ledesma,38,Jujuy,2021,17,Dengue,7,De 15 a 19 anos,5
38035,Ledesma,38,Jujuy,2021,19,Dengue,7,De 15 a 19 anos,1
38035,Ledesma,38,Jujuy,2021,20,Dengue,7,De 15 a 19 anos,1
38035,Ledesma,38,Jujuy,2021,23,Dengue,7,De 15 a 19 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,15,Dengue,7,De 15 a 19 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,17,Dengue,7,De 15 a 19 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,23,Dengue,7,De 15 a 19 anos,1
38035,Ledesma,38,Jujuy,2021,17,Dengue,4,De 2 a 4 anos,1
38014,El Carmen,38,Jujuy,2021,17,Dengue,8,De 20 a 24 anos,1
38035,Ledesma,38,Jujuy,2021,13,Dengue,8,De 20 a 24 anos,3
38035,Ledesma,38,Jujuy,2021,16,Dengue,8,De 20 a 24 anos,3
38035,Ledesma,38,Jujuy,2021,17,Dengue,8,De 20 a 24 anos,3
38035,Ledesma,38,Jujuy,2021,19,Dengue,8,De 20 a 24 anos,3
38035,Ledesma,38,Jujuy,2021,22,Dengue,8,De 20 a 24 anos,1
38042,Palpalá ,38,Jujuy,2021,18,Dengue,8,De 20 a 24 anos,1
38063,San Pedro,38,Jujuy,2021,19,Dengue,8,De 20 a 24 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,21,Dengue,8,De 20 a 24 anos,1
38014,El Carmen,38,Jujuy,2021,19,Dengue,9,De 25 a 34 anos,1
38035,Ledesma,38,Jujuy,2021,10,Dengue,9,De 25 a 34 anos,2
38035,Ledesma,38,Jujuy,2021,11,Dengue,9,De 25 a 34 anos,1
38035,Ledesma,38,Jujuy,2021,12,Dengue,9,De 25 a 34 anos,4
38035,Ledesma,38,Jujuy,2021,13,Dengue,9,De 25 a 34 anos,1
38035,Ledesma,38,Jujuy,2021,14,Dengue,9,De 25 a 34 anos,2
38035,Ledesma,38,Jujuy,2021,15,Dengue,9,De 25 a 34 anos,1
38035,Ledesma,38,Jujuy,2021,16,Dengue,9,De 25 a 34 anos,4
38035,Ledesma,38,Jujuy,2021,17,Dengue,9,De 25 a 34 anos,6
38035,Ledesma,38,Jujuy,2021,18,Dengue,9,De 25 a 34 anos,5
38035,Ledesma,38,Jujuy,2021,21,Dengue,9,De 25 a 34 anos,3
38063,San Pedro,38,Jujuy,2021,15,Dengue,9,De 25 a 34 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,15,Dengue,9,De 25 a 34 anos,2
38070,SAnta Bárbara,38,Jujuy,2021,17,Dengue,9,De 25 a 34 anos,4
38070,SAnta Bárbara,38,Jujuy,2021,18,Dengue,9,De 25 a 34 anos,6
38070,SAnta Bárbara,38,Jujuy,2021,19,Dengue,9,De 25 a 34 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,22,Dengue,9,De 25 a 34 anos,2
38070,SAnta Bárbara,38,Jujuy,2021,23,Dengue,9,De 25 a 34 anos,2
38014,El Carmen,38,Jujuy,2021,15,Dengue,9,De 35 a 44 anos,1
38035,Ledesma,38,Jujuy,2021,7,Dengue,9,De 35 a 44 anos,1
38035,Ledesma,38,Jujuy,2021,11,Dengue,9,De 35 a 44 anos,3
38035,Ledesma,38,Jujuy,2021,12,Dengue,9,De 35 a 44 anos,1
38035,Ledesma,38,Jujuy,2021,14,Dengue,9,De 35 a 44 anos,1
38035,Ledesma,38,Jujuy,2021,15,Dengue,9,De 35 a 44 anos,3
38035,Ledesma,38,Jujuy,2021,16,Dengue,9,De 35 a 44 anos,7
38035,Ledesma,38,Jujuy,2021,17,Dengue,9,De 35 a 44 anos,3
38035,Ledesma,38,Jujuy,2021,18,Dengue,9,De 35 a 44 anos,1
38035,Ledesma,38,Jujuy,2021,23,Dengue,9,De 35 a 44 anos,1
38063,San Pedro,38,Jujuy,2021,12,Dengue,9,De 35 a 44 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,14,Dengue,9,De 35 a 44 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,15,Dengue,9,De 35 a 44 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,16,Dengue,9,De 35 a 44 anos,2
38070,SAnta Bárbara,38,Jujuy,2021,17,Dengue,9,De 35 a 44 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,18,Dengue,9,De 35 a 44 anos,6
38070,SAnta Bárbara,38,Jujuy,2021,21,Dengue,9,De 35 a 44 anos,2
38070,SAnta Bárbara,38,Jujuy,2021,23,Dengue,9,De 35 a 44 anos,2
38070,SAnta Bárbara,38,Jujuy,2021,25,Dengue,9,De 35 a 44 anos,1
38014,El Carmen,38,Jujuy,2021,13,Dengue,10,De 45 a 65 anos,1
38035,Ledesma,38,Jujuy,2021,10,Dengue,10,De 45 a 65 anos,1
38035,Ledesma,38,Jujuy,2021,13,Dengue,10,De 45 a 65 anos,3
38035,Ledesma,38,Jujuy,2021,14,Dengue,10,De 45 a 65 anos,2
38035,Ledesma,38,Jujuy,2021,15,Dengue,10,De 45 a 65 anos,2
38035,Ledesma,38,Jujuy,2021,16,Dengue,10,De 45 a 65 anos,5
38035,Ledesma,38,Jujuy,2021,17,Dengue,10,De 45 a 65 anos,6
38035,Ledesma,38,Jujuy,2021,18,Dengue,10,De 45 a 65 anos,2
38035,Ledesma,38,Jujuy,2021,19,Dengue,10,De 45 a 65 anos,4
38035,Ledesma,38,Jujuy,2021,20,Dengue,10,De 45 a 65 anos,1
38035,Ledesma,38,Jujuy,2021,21,Dengue,10,De 45 a 65 anos,1
38035,Ledesma,38,Jujuy,2021,24,Dengue,10,De 45 a 65 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,16,Dengue,10,De 45 a 65 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,18,Dengue,10,De 45 a 65 anos,2
38070,SAnta Bárbara,38,Jujuy,2021,20,Dengue,10,De 45 a 65 anos,2
38070,SAnta Bárbara,38,Jujuy,2021,21,Dengue,10,De 45 a 65 anos,1
38035,Ledesma,38,Jujuy,2021,16,Dengue,5,De 5 a 9 anos,2
38035,Ledesma,38,Jujuy,2021,22,Dengue,5,De 5 a 9 anos,1
38070,SAnta Bárbara,38,Jujuy,2021,21,Dengue,5,De 5 a 9 anos,1
